episode,reward,loss,epsilon,distance_to_target,steps,vertical_distance,horizontal_distance
1,-98.47052059502583,0.06286398494963297,0.999,3.0529058116232486,499,2.9040451375807512,2.0160846798331846
2,-95.95860601658572,0.08910692061012039,0.998001,1.7072144288577145,499,1.9331850445896093,3.242667540616843
3,-21.678491744980157,0.0898856135450073,0.997002999,1.096907216494846,97,2.896541161359521,2.8521221851706287
4,-91.63084071101854,0.06374515492528204,0.996005996001,3.50725623582766,441,6.433362880356041,1.9489976114681085
5,-59.55784562408077,0.050965893840947685,0.995009990004999,1.8135761589403994,302,-5.269308899705498,2.393033214098139
6,-34.75104465399766,0.05094579446123787,0.994014980014994,2.149693251533744,163,1.6963595193361787,2.6431763365070466
7,-39.219631345841236,0.04328436213788263,0.993020965034979,0.8071090047393359,211,-1.1003430944403534,2.6411446005934494
8,-83.17694800560619,0.043730311517515975,0.9920279440699441,2.464128256513027,499,6.9737226802868015,1.7979509052129075
9,-55.023306491518994,0.0367113480861218,0.9910359161258742,2.16791907514451,346,9.28630816781133,1.0047458454962168
10,-15.517140949145364,0.03280870287426721,0.9900448802097482,0.5252336448598133,107,-1.0849490882664448,2.475602290313873
11,-61.670509645185156,0.030646850137751407,0.9890548353295385,3.1425655976676365,343,6.286989375451809,1.433738247069499
12,-43.17312194135578,0.02817731763500331,0.988065780494209,2.075621890547263,201,4.216613634104039,3.4446980173296993
13,-109.42914369865271,0.02368636505644701,0.9870777147137147,1.7695390781563127,499,-1.3911140980580305,3.4557862190454003
14,-97.51915540174377,0.020833086631146962,0.986090636999001,1.269739478957914,499,4.11432089426766,1.9684120301142585
15,-96.98334686674863,0.017677387064938734,0.9851045463620021,1.8967935871743506,499,-1.9860731042369153,2.7255024445092104
16,-104.89316183898335,0.013751143551355075,0.98411944181564,2.169739478957915,499,3.0057438798928837,3.9771965167522154
17,-118.22109840805116,0.012845082237443071,0.9831353223738244,1.2965931863727453,499,1.7652357867015005,3.5810992081956172
18,-27.069103766800335,0.01214667170518829,0.9821521870514506,0.7064516129032257,155,-1.9157889684085063,2.369770996053653
19,-94.74800564032931,0.011589282720474776,0.9811700348643991,2.5174348697394846,499,-6.169596424744949,2.0617827356226144
20,-20.42111528603026,0.010700520434924825,0.9801888648295347,0.4303030303030301,132,-0.867057912523014,2.541947077410086
21,-11.074975130127378,0.011511528592867156,0.9792086759647052,0.38333333333333325,60,2.750679035990195,3.183415272538582
22,-41.60230674116146,0.012528664425876484,0.9782294672887405,0.5830188679245288,212,2.219081427144745,3.1510363682207085
23,-81.66294850201272,0.013672839574286109,0.9772512378214517,1.6345844504021443,373,2.114503091613939,3.1324967779026593
24,-85.70315794017772,0.012626360202271618,0.9762739865836303,1.1092184368737454,499,0.473898559093068,3.080832234341358
25,-27.522478034231096,0.012516190003952942,0.9752977125970467,1.5187499999999996,160,4.244752377052859,2.22680836784032
26,-79.541518713327,0.011323222449858821,0.9743224148844496,0.5579439252336457,428,0.5613307154969225,3.074780666565843
27,-105.59886120170714,0.012122427239334715,0.9733480924695651,3.6106212424849717,499,3.1542582638498384,1.919028627969837
28,-102.92470161120107,0.01183381476318221,0.9723747443770956,3.1783567134268575,499,8.892555174594385,3.2836752019088777
29,-96.60515856915251,0.010247317085580515,0.9714023696327185,1.8185344827586238,464,4.602801017826833,3.4532764786782053
30,-107.04180343044715,0.011405295452554682,0.9704309672630859,3.216833667334669,499,5.4187451611467505,2.2961395001171496
31,-93.87111238458705,0.010681023382635895,0.9694605362958227,1.3949899799599168,499,0.0313726907002021,2.6513908125246886
32,-107.91464237368774,0.01009470102412697,0.9684910757595269,2.14328657314629,499,-1.790606828481681,5.885031809530695
33,-67.59165944350897,0.010268918693232973,0.9675225846837673,1.3174940898345155,423,4.688408969299214,2.0927699848189576
34,-108.67297348108927,0.009990130476504266,0.9665550620990835,4.400400801603201,499,2.713775395456398,2.155875955462321
35,-67.88552717475108,0.00976407088540843,0.9655885070369844,1.877777777777774,342,-0.977378007295111,2.901095768325895
36,-6.239084701052436,0.00830220605712384,0.9646229185299474,0.9111111111111114,36,1.2364646317658776,2.9020350368748993
37,-107.55620295951022,0.009701380624672871,0.9636582956114175,3.459118236472959,499,-4.369056001807855,2.780038796663
38,-34.001238542716784,0.010751588306770535,0.9626946373158061,1.075862068965517,203,5.806422223651508,1.7960924118322055
39,-93.66185494029143,0.010634578282913129,0.9617319426784903,0.9030060120240486,499,1.7423854721068275,3.5896018830052583
40,-66.04887719517731,0.009223078631311249,0.9607702107358118,0.8316076294277921,367,1.4747047660312873,2.668427503415394
41,-32.97227729772658,0.008825104214991324,0.959809440525076,1.7487179487179496,156,0.3663658756737438,2.167895752401698
42,-102.45217361842087,0.010210237339818346,0.9588496310845509,1.6008016032064105,499,1.7740785152128926,3.2602219816302735
43,-105.36796318027825,0.009804667331061825,0.9578907814534664,2.7338677354709464,499,6.160203440091568,2.0511162582537565
44,-51.86154603460978,0.009587116292826662,0.9569328906720129,2.9849315068493136,219,-5.73451977934402,2.132137573421744
45,-92.44663677251665,0.010580070264926113,0.9559759577813409,4.177239709443099,413,7.4823805019367295,3.8257503471807652
46,-103.95899255540718,0.010568020013319645,0.9550199818235596,1.8496993987975991,499,4.735584842072729,2.312264630342959
47,-70.02877335191354,0.011218235699963004,0.9540649618417361,2.3421221864951773,311,4.221593325741807,3.2098772583238215
48,-64.83419186952639,0.010844674412408595,0.9531108968798944,3.5234265734265757,286,-5.2529855158429175,2.4931726846902578
49,-106.69110959124627,0.010849695987738146,0.9521577859830145,3.2681362725450933,499,3.9892581714183266,3.3963968741716357
50,-41.16929961129029,0.010465425268590156,0.9512056281970315,2.13960396039604,202,4.336047542379065,3.2540204385657745
51,-104.09809425203444,0.010509371122938836,0.9502544225688344,4.655911823647316,499,-7.405611689455197,2.5645643206069835
52,-117.42136630569493,0.01062447613456057,0.9493041681462656,4.469739478957927,499,-3.632959906454887,4.575724729639617
53,-37.019022037896086,0.010004820058768118,0.9483548639781193,1.9633165829145716,199,6.06562399417851,2.1578308567965436
54,-57.266950739362855,0.010826923113942772,0.9474065091141411,3.2450450450450448,333,7.3269497001824115,1.4509498662828335
55,-44.40118120869295,0.010622852899391076,0.946459102605027,1.3112068965517236,232,2.5305229404070064,2.9687719683059797
56,-96.02748187515887,0.010670962553090586,0.9455126435024219,4.90901803607215,499,6.570055501053556,2.4499793594633203
57,-89.33005161401888,0.010816731689897233,0.9445671308589195,1.8687374749499028,499,-3.8050689499548063,4.0480276845637775
58,-43.361566568826255,0.009924121098951078,0.9436225637280606,4.144615384615378,260,8.057977849436325,1.316446304215937
59,-104.65056248725544,0.010629330357659854,0.9426789411643326,2.3336673346693377,499,5.223755814733856,3.906121129643033
