episode,reward,loss,epsilon,distance_to_target,steps,vertical_distance,horizontal_distance
1,-11.407641477176261,0.03633061521890766,0.999,3.609812108559512,479,0.5492032765167023,2.6645754042386045
2,-1.4710463393291278,0.03253263409715146,0.998001,3.284722222222221,144,2.5099381691435836,1.3295126509874038
3,-12.999837596217544,0.03779226547869092,0.997002999,5.3409090909090935,88,6.111288541023031,6.353891797522245
4,-7.975424216170977,0.028079345398087565,0.996005996001,4.340997830802604,461,6.09228517552164,1.8039913277363127
5,-1.9988541442528684,0.01758250359968423,0.995009990004999,5.167266187050354,278,-1.4142015704012958,7.849212530802504
6,-8.99817009531225,0.018882620127664673,0.994014980014994,5.758148148148151,270,-4.971913555151838,6.9753407398848
7,-10.990543452796034,0.024132523411998945,0.993020965034979,4.4318367346938805,245,6.595018593174047,5.637464355024008
8,-13.992521495768745,0.018454056108382598,0.9920279440699441,4.164379084967326,306,5.02342831674722,1.9388036377214846
9,-1.992152535925904,0.015542266766113559,0.9910359161258742,4.930075187969934,266,-3.6298456492182805,4.616478156401364
10,-10.997059289841266,0.013574525504373014,0.9900448802097482,6.235909090909096,220,-7.925765124289215,3.4158570327767492
11,-9.977809880654187,0.012734365693486712,0.9890548353295385,4.669148936170223,376,-6.602416865415927,5.429327385912842
12,-3.886506271001264,0.011246968494798202,0.988065780494209,3.6782881002087855,479,-0.3638755005145664,5.334131574421065
13,-3.4276208075531756,0.009908083213847091,0.9870777147137147,3.241336116910243,479,2.7203517264553607,2.8125911424046564
14,-7.498246174673771,0.008139063789008572,0.986090636999001,5.765831435079719,439,8.332780935857064,2.1726632538091266
15,-2.997932339733428,0.007851904422447356,0.9851045463620021,4.229166666666675,288,3.7843917053537854,2.191566074518832
16,-2.463138089773377,0.00748789425351655,0.98411944181564,3.604175365344468,479,-0.567402907319261,3.4500223892820046
17,-2.9712832507158513,0.007021554633814623,0.9831353223738244,3.714405010438404,479,4.773826855068412,2.1592165805313357
18,-4.997348021844172,0.006773500910100754,0.9821521870514506,4.883507306889359,479,1.9988992617079782,4.88619162115635
