episode,reward,loss,epsilon,distance_to_target,steps,vertical_distance,horizontal_distance
1,-7.419481553280359,0.13903940797592543,0.999,4.233540372670801,322,6.982296105617563,1.594574405237637
2,-2.310677610473125,0.05193986537173868,0.998001,3.242084168336683,499,1.1624031532065175,3.2664739273300327
3,-10.00381313211928,0.022180795128470366,0.997002999,5.984507042253529,284,8.519888867010994,1.550634798018848
4,21.58016537439754,0.02524030626936254,0.996005996001,2.4553106212425,499,-0.4201105864260799,0.21200889169018922
5,-2.4335437109612923,0.01751699030421719,0.995009990004999,4.6725450901803605,499,0.2020277446944161,3.7143527660005944
6,-11.918463738644778,0.012290591438121478,0.994014980014994,5.07224770642204,436,-7.517492519951032,4.23327961462271
7,0.1539819623331352,0.011214843055070985,0.993020965034979,3.3733466933867824,499,-3.0621703166720557,2.9458944363543793
8,-7.844840327491369,0.007496060956349173,0.9920279440699441,6.012979351032458,339,8.474661836070354,1.3969958722228597
9,-1.4459364420015302,0.006905936809720467,0.9910359161258742,3.789779559118248,499,-4.889251789451314,4.903330893818449
10,-3.408379062215292,0.005780217402361759,0.9900448802097482,3.3807615230460994,499,-1.368517190658996,2.954754330553449
11,-7.313003625921649,0.005962307055433689,0.9890548353295385,5.4494382022471894,178,8.26734259266774,1.9729092415416645
12,-4.968132732325209,0.004975118658706949,0.988065780494209,5.302204408817638,499,-3.338409008585923,5.235188227276268
13,-8.850848087111014,0.005485759898304872,0.9870777147137147,3.512650602409638,332,-2.756334899690326,1.9489386400917752
14,-2.105309392188822,0.0059683456709459124,0.986090636999001,3.446893787575134,499,4.748383405238473,1.7366589069171354
15,-0.24545941452488163,0.00577297755729366,0.9851045463620021,3.2232464929859885,499,2.723351920585122,2.2695274174278097
16,-2.447779156622063,0.007277164249079029,0.98411944181564,4.765931863727467,499,-2.677807507800837,3.086835182072747
17,-14.931836648363221,0.004289344789989698,0.9831353223738244,4.778770949720681,358,-7.4257603820772395,4.244210377866253
18,-10.322374398939177,0.005154314812238726,0.9821521870514506,4.498196392785574,499,3.8995803098696955,4.54346929991533
19,-2.1057407243585677,0.004178569019613004,0.9811700348643991,4.752705410821646,499,-1.630066281263829,1.960321748104974
20,-5.9609606521321385,0.004628021551451424,0.9801888648295347,4.786041189931367,437,-7.37925932818945,4.262419466441649
21,-2.4529696000533994,0.0053474099463145025,0.9792086759647052,2.8692771084337374,332,-2.6659271579143304,1.8326347803644438
22,-2.7132246241230504,0.00545930842166882,0.9782294672887405,3.74418604651163,387,5.202870255826492,1.6557864835304272
23,-2.7867640863728247,0.005015195937085811,0.9772512378214517,3.4044088176352725,499,-1.9788182690629137,2.335515454072528
24,-0.9112065520947484,0.004640714932811206,0.9762739865836303,4.959919839679375,499,-5.834944441960299,3.1592778200935783
25,-7.44606201143549,0.003938966885740213,0.9752977125970467,5.984778012684985,473,7.675457404666133,4.132432409882632
26,-2.907512854847994,0.0034614787262632046,0.9743224148844496,4.0148296593186386,499,2.9597010129321335,4.297522533433806
27,-3.9207115185985772,0.004219774647432945,0.9733480924695651,5.143486973947896,499,4.603695497745947,4.124274022563313
28,-1.1130863064671443,0.005331502351671913,0.9723747443770956,3.937074148296599,499,5.895472431738454,1.8863311063972787
29,-1.6196766236226199,0.00613706665550884,0.9714023696327185,3.287975951903812,499,-3.497750988710255,2.2530005444422585
30,-2.9169887458480424,0.0055736088729545176,0.9704309672630859,4.208216432865752,499,-1.5037492135078647,2.9060473734842844
31,0.1047239649845154,0.003955419773938375,0.9694605362958227,3.4613226452905854,499,-3.4034806931507187,2.1530649881503336
32,-8.4357957470525,0.005291278023522351,0.9684910757595269,4.187242798353917,486,7.584015652960302,4.3208921272219385
33,-5.981997260093083,0.005311298057678872,0.9675225846837673,5.215831663326647,499,-4.596848587731827,4.1478589094696545
34,-1.768026760488871,0.004546804301423685,0.9665550620990835,3.1633266533066258,499,0.1816915080724435,3.0887920835460463
35,-4.9084242823274336,0.0035085603693931293,0.9655885070369844,3.77955911823649,499,-2.390050775645477,3.4202653324129386
36,-0.5589335478553108,0.004457539807280007,0.9646229185299474,4.101002004008037,499,-0.8381567819324434,2.3539551678738277
37,-6.006002509714216,0.004255462176903772,0.9636582956114175,4.230000000000001,240,-4.205030080611511,1.902378471656128
38,1.047171247665244,0.00444925084988744,0.9626946373158061,4.92520775623269,361,8.207587146182451,1.4170829197156678
