episode,reward,loss,epsilon,distance_to_target,steps,vertical_distance,horizontal_distance
1,-12.989990085413298,0.033047456555068494,0.9995,3.7952000000000012,250,4.161288189390542,1.7031177792977417
2,-9.950725069586795,0.035335632913474795,0.9990002500000001,3.0683544303797468,79,-2.464607925127795,1.0547018369200103
3,-10.499968295314115,0.03805978079749779,0.9985007498750001,6.713636363636363,22,-5.3482895510640205,6.861775342153649
4,-10.995633044214038,0.04498085663106073,0.9980014995000627,4.6029411764705905,136,2.2142948577480124,1.0077124939417814
5,-8.836557923332698,0.04190227877676796,0.9975024987503127,3.4502590673575146,193,-2.4560340823498943,1.3035354093836773
6,-8.987539546856826,0.027814093637280168,0.9970037475009376,3.6549999999999954,200,-2.7706243089401332,1.7604266196287384
7,-0.9853754830291905,0.02610626360506154,0.9965052456271871,3.364044943820222,89,-3.569458622041307,1.9383105717768814
8,-9.963909078783606,0.028016212808363365,0.9960069930043736,3.910303030303033,165,7.211629081456662,4.780266893791634
9,-8.996213600564035,0.02787584045694934,0.9955089895078715,3.2055555555555557,18,-3.719618682271541,1.82006849282795
10,-5.998991327084696,0.022286866126315936,0.9950112350131176,3.942857142857141,49,3.7296167954229946,2.1407626575701855
11,-22.49305282014836,0.02312354953906868,0.9945137293956111,5.2580188679245445,212,-8.697780198933456,2.3148102521074776
12,-5.493402427992515,0.03347302669885032,0.9940164725309134,3.703030303030302,66,2.4102520934858425,1.4729422849896707
13,-2.4767337858358447,0.03988444341755495,0.993519464294648,2.804878048780485,41,2.364713068132097,1.3233960656064028
14,-8.97873028832326,0.02987924471598904,0.9930227045625007,3.6959183673469385,147,7.318368326486964,1.3571911438397208
15,-25.88013665612949,0.021729019062208605,0.9925261932102195,3.5252609603340304,479,4.313873646352217,3.2051587426732624
16,-2.991982970333201,0.021117156704089472,0.9920299301136144,3.865934065934066,91,5.612546361763995,1.6219322571999797
17,37.82603011090547,0.0210280956894178,0.9915339151485576,2.9543859649122792,399,6.939896293098718,4.891953764254353
18,-18.906007800117994,0.02059376703879924,0.9910381481909833,3.364684014869886,269,2.9147289083826813,1.8452487024074884
19,-9.999559180406639,0.016246022029052967,0.990542629116888,5.3378048780487815,164,7.786179060316074,4.032953305442383
20,-15.490687422867362,0.013895527237764327,0.9900473578023296,4.839843749999997,128,-8.036542045728725,3.008188472347342
21,-4.974100752682291,0.01569003433049206,0.9895523341234285,2.9322580645161302,31,2.470434812414535,0.9394495699147711
22,-29.498309023338738,0.015824330100561685,0.9890575579563669,5.790104166666674,384,-4.732168009910435,7.264438433905404
23,-6.499332617122465,0.023186920917239683,0.9885630291773887,4.117241379310344,58,3.4469362197992157,2.3032366757010223
24,-14.964759930966077,0.01838157331436738,0.9880687476628001,5.282882882882885,111,6.76609631788998,5.84239911165411
25,-30.98226517686314,0.015801094051466045,0.9875747132889687,4.0338204592901885,479,-4.634702771245358,2.3503158583227304
26,-8.574489528164143,0.016120118974421213,0.9870809259323243,3.1152249134948087,289,-2.224781997545128,0.7551975749419313
27,-4.40857337972252,0.009122769934155287,0.9865873854693582,2.483870967741936,62,2.447419344221125,1.1601916136154742
28,-6.426863621693307,0.02580495795700699,0.9860940917766235,2.804687499999998,64,-1.7378441499765485,1.4179751336455482
29,-16.989637730457822,0.015795568974633505,0.9856010447307353,4.634868421052639,304,-7.385778439595406,4.349375013110269
30,-7.56393371093212,0.01873863854746317,0.98510824420837,2.8149068322981385,161,-1.0257597384221784,-0.8185976834948008
31,-16.475183627922917,0.017186755262147843,0.9846156900862658,4.264606741573033,178,8.45710801601593,1.3798242007438546
32,-2.997237630414481,0.007219901441463402,0.9841233822412228,2.942857142857143,7,-2.632471465807533,1.436541685314353
33,-4.482449601879816,0.02187193278223276,0.9836313205501022,2.9840909090909093,44,-2.458167277186165,0.9734220885923435
34,-7.992007718244484,0.015009120897610338,0.9831395048898272,4.9221374045801465,131,-5.5204236647468505,6.780854040607608
35,-0.9744837749439884,0.01654121497782265,0.9826479351373822,2.799999999999998,41,2.4198724158055076,1.2809411239500719
36,-10.941493976392604,0.016682450519422593,0.9821566111698136,5.07378640776699,103,5.689917080969332,6.8855314467786215
37,-0.45620588755042446,0.0166899982861103,0.9816655328642288,3.0741935483870972,186,3.2713468248755984,1.8202123143560982
38,-3.496037768666863,0.023779870631794136,0.9811747000977967,3.866666666666662,60,-2.7563805504109737,1.8442202556734415
39,-5.982718989303054,0.012475865481974324,0.9806841127477479,3.0359374999999993,64,-3.362467759476267,1.7920000170933221
40,-4.356571036994142,0.01768547414380702,0.9801937706913741,2.917142857142854,210,-4.217723792114275,1.7514514863444077
41,-20.918796361371786,0.01698527258195404,0.9797036738060285,3.8901673640167376,478,6.420140856390251,5.594441711342704
42,-6.997205090765343,0.012573849182882452,0.9792138219691255,3.855696202531648,79,-3.45418180236687,2.0233242760168793
43,-7.458221714106084,0.014593332248196178,0.978724215058141,3.1208092485549104,173,-2.6967681063216973,1.79631104744022
44,-17.3352751194937,0.015238036095240784,0.978234852950612,4.317880794701988,453,6.681314769308031,5.58894489679836
45,-16.440908189636545,0.016977857632030333,0.9777457355241367,3.3590225563909764,266,-7.441250737032497,4.263769476957421
46,-27.486273449789135,0.01697029452673733,0.9772568626563747,4.925052192066824,479,-7.719683469035159,3.0207305119755077
47,-13.490548533331603,0.013185453846947186,0.9767682342250465,4.127777777777777,72,7.419503905695594,4.387816276578697
48,-4.498661606924206,0.012877431575865518,0.976279850107934,5.093525179856117,139,5.531381421536884,1.4736477531074925
49,-29.760014520737137,0.018930623956888333,0.9757917101828801,3.6773743016759775,358,2.665943975532793,-0.828791823398376
50,-29.382896813014668,0.01461582839089845,0.9753038143277888,3.3714285714285688,210,-2.460066005796756,-0.8371368039172324
51,-16.498273380970634,0.01875057490255086,0.974816162420625,5.2074074074074055,81,-8.1870259072327,2.858723579241172
52,-24.994534744623092,0.015976124270043024,0.9743287543394147,5.049333333333332,300,8.303710433643886,2.1629274576973785
53,-2.499823281551909,0.024907486555589872,0.973841589962245,3.9636363636363643,11,3.6838015821540235,2.124992860014437
54,-11.480080975573557,0.016042081941502976,0.973354669167264,3.2343283582089555,67,-5.679674114451485,1.5424090344676316
55,-6.2991593074515295,0.015694017910582433,0.9728679918326804,3.418471337579613,157,2.484516807754299,1.374979718846916
56,-10.479045779674793,0.018843714201319663,0.972381557836764,3.4693548387096724,248,4.337815564390123,1.9403210873077725
57,-22.72216470531559,0.01798276323084296,0.9718953670578457,2.954318181818182,440,2.646663708549449,1.4422231531349397
58,-22.36962522606419,0.01874624161362757,0.9714094193743169,3.922755741127363,479,-2.207429877879959,2.858160533157367
59,-17.185752414743025,0.013287516176780244,0.9709237146646298,3.8858552631578998,304,-7.246421098718839,5.0507952041992255
60,-2.976986760629272,0.016437952787700025,0.9704382528072976,2.6954545454545458,22,-3.312512667330841,1.6838044345229832
61,-18.99643947143081,0.014022023123861463,0.9699530336808939,6.143703703703706,135,7.366851031234426,4.53415078523669
62,-1.956944030864135,0.01225211818902088,0.9694680571640535,2.614285714285715,42,2.489093599161428,1.173430858040632
63,-8.990732877917575,0.013900366171653713,0.9689833231354715,4.490322580645164,155,3.6303440764720656,7.844266661526348
64,-19.138425027562207,0.015409487749970982,0.9684988314739038,3.693319415448851,479,0.2430141314103902,1.5076988306889305
65,-11.492612396311761,0.01563864008711422,0.9680145820581669,5.250877192982453,114,7.704759709615282,4.171025404080922
66,-4.491514460836708,0.013891867478378117,0.9675305747671379,3.2344827586206892,58,-2.893377075119296,1.9302768162240582
67,-12.43954815095159,0.01687639099103447,0.9670468094797544,3.9974947807933345,479,-5.139448668889892,5.534027953179674
68,-5.498162890993513,0.01525617976529667,0.9665632860750146,4.097435897435898,39,5.008704935199854,2.2421440169028273
69,-30.48170942371551,0.014790426179988306,0.9660800044319772,3.9663883089770344,479,-1.180173422809704,2.803892599674093
70,-15.492802425419965,0.015122582411465463,0.9655969644297613,4.829436325678507,479,6.858047892583054,1.8185935493503607
71,-9.965161414826163,0.012832603247245094,0.9651141659475465,3.03173652694611,167,-2.2364807558859368,-0.9855881387676249
72,-1.9927915466639576,0.009904893547219714,0.9646316088645728,3.445360824742265,97,2.8466818200504167,1.9730023108095267
73,-26.30972835083686,0.01448969137009101,0.9641492930601405,3.658455114822541,479,0.8296453391152903,3.0345973632633587
74,-16.99463933579792,0.014941736290208016,0.9636672184136105,5.529645093945724,479,-6.0122361152388075,5.675899657248188
75,-9.497673541472302,0.028582360393003277,0.9631853848044037,3.5565217391304342,23,4.202375448942952,2.0591390614635756
76,-18.223489237925385,0.015241494423433718,0.9627037921120016,3.1672233820459312,479,2.828249452794216,1.9394047014029263
77,-16.97539319613302,0.014884451255322206,0.9622224402159457,5.021244635193138,466,-3.805262390735266,7.712769548254784
78,-13.496614177872612,0.01615911224488194,0.9617413289958378,5.326174496644293,149,7.118351912740622,5.160721939054184
79,-10.963908676495672,0.013776591882724043,0.9612604583313399,4.262212943632565,479,3.615200946003021,4.32961044938682
80,-13.998648893550765,0.011225902667159544,0.9607798281021742,5.402941176470589,68,8.340817261848429,2.7144440550155124
81,-6.988824171976971,0.01887613746329351,0.9602994381881231,3.3893805309734484,113,3.9345452470227746,2.072206894375178
82,-0.8957632508303723,0.015015013089647427,0.9598192884690291,2.8314285714285754,210,2.3756087168899875,1.3437293048043557
83,-15.93666523416952,0.01624820900840398,0.9593393788247946,3.6211480362537776,331,8.511276542435645,1.5027410639709657
84,-7.32287383377598,0.016383672453230247,0.9588597091353822,3.1544117647058805,136,-2.00607810827685,7.9139015482290205
85,-23.49886642001402,0.0136722157153229,0.9583802792808146,6.237369519833001,479,-3.4665710836411736,6.628102382496785
86,-20.560121039712534,0.012039031307663648,0.9579010891411742,3.22616487455197,279,-2.378443964124371,1.1735171101614768
87,-17.42468600494072,0.013489800697826394,0.9574221385966036,4.12985386221295,479,0.9117445902784107,1.791339911613207
88,-12.983924334350505,0.015485617783173474,0.9569434275273054,5.458940397350988,151,-8.43181924667223,1.6229787471260266
89,-17.996302814864972,0.014930888402514959,0.9564649558135419,5.21571072319202,401,4.734108917457593,7.130971337175744
90,-4.223379851596116,0.012694043138374885,0.9559867233356352,2.3616666666666664,60,-2.407467375423849,1.0117865280576765
